[rosmaster.main][INFO] 2020-09-10 10:24:06,729: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-10 10:24:06,729: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-10 10:24:06,730: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-09-10 10:24:06,731: Started XML-RPC server [http://cuboid0009:11311/]
[xmlrpc][INFO] 2020-09-10 10:24:06,731: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-10 10:24:06,731: Master initialized: port[11311], uri[http://cuboid0009:11311/]
[rosmaster.master][INFO] 2020-09-10 10:24:06,787: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:06,789: +PARAM [/roslaunch/uris/host_cuboid0009__45497] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,416: +SERVICE [/rosout/get_loggers] /rosout http://cuboid0009:34399/
[rosmaster.master][INFO] 2020-09-10 10:24:07,420: +PARAM [/diagnostic_map_scan_rear/id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,420: +PARAM [/base/cube_base_driver/motor_params/Kp] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,420: +SERVICE [/rosout/set_logger_level] /rosout http://cuboid0009:34399/
[rosmaster.master][INFO] 2020-09-10 10:24:07,420: +PARAM [/battery_info/full_battery_current_threshold] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,421: +PARAM [/lh_laser_node_body/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,421: +PARAM [/battery_monitor_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,421: +PARAM [/diagnostic_vesc_right_device/devicename] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,421: +PARAM [/diag_agg/analyzers/sensors/analyzers/kinect/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,421: +PARAM [/base/cube_base_driver/motor_params/Kd] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,422: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,422: +PARAM [/twist_mux/topics] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,422: +PUB [/rosout_agg] /rosout http://cuboid0009:34399/
[rosmaster.master][INFO] 2020-09-10 10:24:07,422: +PARAM [/diag_agg/analyzers/sensors/analyzers/rplidar/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,422: +PARAM [/camera_bridge/use_png] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,423: +PARAM [/map_scan_merger/range_min] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,423: +PARAM [/base/cube_base_driver/motor_params/Ki] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,423: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,423: +PARAM [/diagnostic_rplidar_body_topic/max_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,423: +PARAM [/diagnostic_epsolar/devicename] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,423: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,423: +PARAM [/diag_agg/analyzers/vesc/analyzers/vesc_right/find_and_remove_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,423: +PARAM [/diag_agg/analyzers/vesc/analyzers/vesc_left/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,423: +PARAM [/diagnostic_vesc_left_topic/id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,424: +PARAM [/diagnostic_rplidar_foot_topic/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,424: +PARAM [/diag_agg/analyzers/sensors/analyzers/rplidar/path] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,424: +PARAM [/face_node/offset_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,424: +PARAM [/imu_filter/thresh_joint_target_stopping] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,424: +PARAM [/diagnostic_rplidar_body_device/devicename] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,424: +PARAM [/base/cube_base_driver/diff_drive_controller/linear/x/has_jerk_limits] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,424: +PARAM [/diag_agg/analyzers/Battery/analyzers/epsolar_device/path] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,424: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,424: +PARAM [/lh_laser_node_head/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,424: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,424: +PARAM [/cut_plan/plan_topic_name] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,425: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,425: +PARAM [/diag_agg/analyzers/sensors/analyzers/rplidar/analyzers/rplidar_head/find_and_remove_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,425: +PARAM [/diag_agg/analyzers/sensors/analyzers/IMU/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,425: +PARAM [/diag_agg/analyzers/MoveBase/analyzers/movebase/path] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,426: +PARAM [/lh_laser_node_foot/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,426: +PARAM [/diagnostic_battery/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,426: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,426: +PARAM [/map_scan_merger/angle_max] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,426: +PARAM [/base/cube_base_driver/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,427: +PARAM [/camera_bridge/min_depth] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,427: +PARAM [/diagnostic_rplidar_foot_topic/min_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,427: +PARAM [/diag_agg/analyzers/sensors/analyzers/rplidar/analyzers/rplidar_foot/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,427: +SUB [/rosout] /rosout http://cuboid0009:34399/
[rosmaster.master][INFO] 2020-09-10 10:24:07,428: +PARAM [/akulidar_ros_node_map_scan_front/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,428: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,428: +PARAM [/base/cube_base_driver/diff_drive_controller/linear/x/min_velocity] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,428: +PARAM [/imu_filter_madgwick/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,428: +PARAM [/twist_mux/locks] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,428: +PARAM [/diagnostic_rplidar_body_topic/id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,428: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,428: +PARAM [/diagnostic_map_scan_rear/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,428: +PARAM [/map_scan_merger/angle_min] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,428: +PARAM [/imu_filter_madgwick/publish_debug_topics] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,428: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/base/wheel_right/vesc_wheel_r/port] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/camera_bridge/png_level] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/akulidar_ros_node_map_scan_rear/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/base/cube_base_driver/motor_params/duty_multiplier] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/lh_laser_node_foot/port] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/diagnostic_rplidar_head_topic/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/diag_agg/analyzers/Battery/analyzers/battery/find_and_remove_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/has_jerk_limits] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/diag_agg/analyzers/Battery/analyzers/battery/path] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/diag_agg/analyzers/MoveBase/analyzers/movebase/find_and_remove_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/base/cube_base_driver/diff_drive_controller/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/base/wheel_left/vesc_nodelet_manager/num_worker_threads] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/camera_bridge/depth_device] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/diag_agg/analyzers/Battery/analyzers/epsolar_device/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,429: +PARAM [/diag_agg/analyzers/vesc/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,430: +PARAM [/base/wheel_left/vesc_wheel_l/port] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,430: +PARAM [/camera_bridge/max_depth] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:24:07,430: +PARAM [/joystick_relay/turbo/angular_max] by /roslaunch
