[rosmaster.main][INFO] 2020-09-10 11:43:35,170: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-10 11:43:35,170: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-10 11:43:35,171: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-09-10 11:43:35,171: Started XML-RPC server [http://cuboid0009:11311/]
[rosmaster.master][INFO] 2020-09-10 11:43:35,172: Master initialized: port[11311], uri[http://cuboid0009:11311/]
[xmlrpc][INFO] 2020-09-10 11:43:35,172: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-10 11:43:35,229: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,230: +PARAM [/roslaunch/uris/host_cuboid0009__33841] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,847: +SERVICE [/rosout/get_loggers] /rosout http://cuboid0009:43609/
[rosmaster.master][INFO] 2020-09-10 11:43:35,860: +PARAM [/diagnostic_map_scan_rear/id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,860: +PARAM [/base/cube_base_driver/motor_params/Kp] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,860: +SERVICE [/rosout/set_logger_level] /rosout http://cuboid0009:43609/
[rosmaster.master][INFO] 2020-09-10 11:43:35,860: +PARAM [/battery_info/full_battery_current_threshold] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,861: +PARAM [/lh_laser_node_body/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,861: +PARAM [/battery_monitor_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,861: +PARAM [/diagnostic_vesc_right_device/devicename] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,861: +PARAM [/diag_agg/analyzers/sensors/analyzers/kinect/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,862: +PUB [/rosout_agg] /rosout http://cuboid0009:43609/
[rosmaster.master][INFO] 2020-09-10 11:43:35,862: +PARAM [/base/cube_base_driver/motor_params/Kd] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,862: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,863: +PARAM [/twist_mux/topics] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,863: +PARAM [/diag_agg/analyzers/sensors/analyzers/rplidar/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,863: +PARAM [/camera_bridge/use_png] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,863: +PARAM [/map_scan_merger/range_min] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,864: +PARAM [/base/cube_base_driver/motor_params/Ki] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,864: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,864: +PARAM [/diagnostic_rplidar_body_topic/max_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,865: +PARAM [/diagnostic_epsolar/devicename] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 11:43:35,865: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/max_acceleration] by /roslaunch
