[rosmaster.main][INFO] 2020-09-10 10:21:15,806: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-10 10:21:15,806: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-10 10:21:15,807: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-09-10 10:21:15,807: Started XML-RPC server [http://cuboid0009:11311/]
[rosmaster.master][INFO] 2020-09-10 10:21:15,807: Master initialized: port[11311], uri[http://cuboid0009:11311/]
[xmlrpc][INFO] 2020-09-10 10:21:15,807: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-10 10:21:15,866: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:15,867: +PARAM [/roslaunch/uris/host_cuboid0009__39917] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,519: +PARAM [/diagnostic_map_scan_rear/id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,519: +SERVICE [/rosout/get_loggers] /rosout http://cuboid0009:45507/
[rosmaster.master][INFO] 2020-09-10 10:21:16,519: +PARAM [/base/cube_base_driver/motor_params/Kp] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,519: +PARAM [/battery_info/full_battery_current_threshold] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,520: +PARAM [/lh_laser_node_body/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,520: +SERVICE [/rosout/set_logger_level] /rosout http://cuboid0009:45507/
[rosmaster.master][INFO] 2020-09-10 10:21:16,520: +PARAM [/battery_monitor_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,520: +PARAM [/diagnostic_vesc_right_device/devicename] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,521: +PARAM [/diag_agg/analyzers/sensors/analyzers/kinect/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,521: +PARAM [/base/cube_base_driver/motor_params/Kd] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,521: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,521: +PUB [/rosout_agg] /rosout http://cuboid0009:45507/
[rosmaster.master][INFO] 2020-09-10 10:21:16,522: +PARAM [/twist_mux/topics] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,522: +PARAM [/diag_agg/analyzers/sensors/analyzers/rplidar/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,522: +PARAM [/camera_bridge/use_png] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,523: +PARAM [/map_scan_merger/range_min] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,523: +PARAM [/base/cube_base_driver/motor_params/Ki] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,523: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,523: +PARAM [/diagnostic_rplidar_body_topic/max_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,523: +PARAM [/diagnostic_epsolar/devicename] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,524: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,524: +PARAM [/diag_agg/analyzers/vesc/analyzers/vesc_right/find_and_remove_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-09-10 10:21:16,524: +PARAM [/diag_agg/analyzers/vesc/analyzers/vesc_left/type] by /roslaunch
