[rosmaster.main][INFO] 2020-09-04 17:59:25,043: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-04 17:59:25,044: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-04 17:59:25,044: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-09-04 17:59:25,045: Started XML-RPC server [http://cuboid0009:11311/]
[xmlrpc][INFO] 2020-09-04 17:59:25,045: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-04 17:59:25,045: Master initialized: port[11311], uri[http://cuboid0009:11311/]
[rosmaster.master][INFO] 2020-09-04 17:59:25,109: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,111: +PARAM [/roslaunch/uris/host_cuboid0009__34467] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,753: +PARAM [/diagnostic_map_scan_rear/id] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,753: +PARAM [/base/cube_base_driver/motor_params/Kp] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,753: +PARAM [/battery_info/full_battery_current_threshold] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,753: +PARAM [/lh_laser_node_body/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/battery_monitor_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/diagnostic_vesc_right_device/devicename] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/diag_agg/analyzers/sensors/analyzers/kinect/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/base/cube_base_driver/motor_params/Kd] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/twist_mux/topics] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/diag_agg/analyzers/sensors/analyzers/rplidar/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/camera_bridge/use_png] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/map_scan_merger/range_min] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/base/cube_base_driver/motor_params/Ki] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/diagnostic_rplidar_body_topic/max_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/diagnostic_epsolar/devicename] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/diag_agg/analyzers/vesc/analyzers/vesc_right/find_and_remove_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,754: +PARAM [/diag_agg/analyzers/vesc/analyzers/vesc_left/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/diagnostic_vesc_left_topic/id] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/diagnostic_rplidar_foot_topic/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/diag_agg/analyzers/sensors/analyzers/rplidar/path] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/face_node/offset_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/imu_filter/thresh_joint_target_stopping] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/diagnostic_rplidar_body_device/devicename] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/base/cube_base_driver/diff_drive_controller/linear/x/has_jerk_limits] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/diag_agg/analyzers/Battery/analyzers/epsolar_device/path] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/lh_laser_node_head/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/cut_plan/plan_topic_name] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/diag_agg/analyzers/sensors/analyzers/rplidar/analyzers/rplidar_head/find_and_remove_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,755: +PARAM [/diag_agg/analyzers/sensors/analyzers/IMU/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,756: +PARAM [/diag_agg/analyzers/MoveBase/analyzers/movebase/path] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,756: +PARAM [/lh_laser_node_foot/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,756: +PARAM [/diagnostic_battery/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,756: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,756: +PARAM [/map_scan_merger/angle_max] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 17:59:25,756: +PARAM [/base/cube_base_driver/joint_state_controller/type] by /roslaunch
