[rosmaster.main][INFO] 2020-09-01 10:18:00,805: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-01 10:18:00,805: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-01 10:18:00,806: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-09-01 10:18:00,806: Started XML-RPC server [http://cuboid:11311/]
[xmlrpc][INFO] 2020-09-01 10:18:00,806: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-01 10:18:00,807: Master initialized: port[11311], uri[http://cuboid:11311/]
[rosmaster.master][INFO] 2020-09-01 10:18:00,858: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:00,859: +PARAM [/roslaunch/uris/host_cuboid__36131] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,508: +PARAM [/diagnostic_map_scan_rear/id] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/base/cube_base_driver/motor_params/Kp] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/battery_info/full_battery_current_threshold] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/lh_laser_node_body/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/battery_monitor_node/baudrate] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/diagnostic_vesc_right_device/devicename] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/diag_agg/analyzers/sensors/analyzers/kinect/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/base/cube_base_driver/motor_params/Kd] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/base/cube_base_driver/diff_drive_controller/angular/z/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/twist_mux/topics] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/diag_agg/analyzers/sensors/analyzers/rplidar/type] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/camera_bridge/use_png] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/map_scan_merger/range_min] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:18:01,509: +PARAM [/base/cube_base_driver/motor_params/Ki] by /roslaunch
